concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Transferir creditos homologables,complete,15930,2016-04-27 03:23:30+00:00,Transferir creditos homologables,15930,97702,Variant 65,65,Fluxicon Disco
Traer informacion estudiante - banner,start,8824,2016-03-08 13:14:36+00:00,Traer informacion estudiante - banner,8824,97751,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,complete,8824,2016-03-08 13:14:36+00:00,Traer informacion estudiante - banner,8824,97751,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,start,8824,2016-03-08 13:14:39+00:00,Radicar Solicitud Homologacion,8824,97751,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8824,2016-03-08 13:14:39+00:00,Radicar Solicitud Homologacion,8824,97751,Variant 6,6,Fluxicon Disco
Validar solicitud,start,677,2016-03-08 13:23:02+00:00,Validar solicitud,677,97751,Variant 6,6,Fluxicon Disco
Validar solicitud,complete,677,2016-03-08 13:39:02+00:00,Validar solicitud,677,97751,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,start,3445,2016-03-10 14:07:56+00:00,Homologacion por grupo de cursos,3445,97751,Variant 6,6,Fluxicon Disco
Revisar curso,start,677,2016-03-10 14:07:57+00:00,Revisar curso,677,97751,Variant 6,6,Fluxicon Disco
Revisar curso,complete,677,2016-03-10 14:07:57+00:00,Revisar curso,677,97751,Variant 6,6,Fluxicon Disco
Evaluacion curso,start,3445,2016-03-10 14:11:22+00:00,Evaluacion curso,3445,97751,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,complete,3445,2016-03-10 14:47:56+00:00,Homologacion por grupo de cursos,3445,97751,Variant 6,6,Fluxicon Disco
Evaluacion curso,complete,3445,2016-03-10 14:51:22+00:00,Evaluacion curso,3445,97751,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,start,8824,2016-03-08 13:23:14+00:00,Traer informacion estudiante - banner,8824,97752,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,complete,8824,2016-03-08 13:23:14+00:00,Traer informacion estudiante - banner,8824,97752,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,start,8824,2016-03-08 13:23:15+00:00,Radicar Solicitud Homologacion,8824,97752,Variant 1,1,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8824,2016-03-08 14:08:42+00:00,Radicar Solicitud Homologacion,8824,97752,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,start,677,2016-03-15 22:27:35+00:00,Cancelar Solicitud,677,97752,Variant 1,1,Fluxicon Disco
Cancelar Solicitud,complete,677,2016-03-16 00:06:59+00:00,Cancelar Solicitud,677,97752,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,677,2016-04-08 16:51:51+00:00,Notificacion estudiante cancelacion soli,677,97752,Variant 1,1,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,677,2016-04-08 16:51:51+00:00,Notificacion estudiante cancelacion soli,677,97752,Variant 1,1,Fluxicon Disco
Traer informacion estudiante - banner,start,1113,2016-03-08 14:13:35+00:00,Traer informacion estudiante - banner,1113,97801,Variant 3,3,Fluxicon Disco
Traer informacion estudiante - banner,complete,1113,2016-03-08 14:13:35+00:00,Traer informacion estudiante - banner,1113,97801,Variant 3,3,Fluxicon Disco
Radicar Solicitud Homologacion,start,1113,2016-03-08 14:13:38+00:00,Radicar Solicitud Homologacion,1113,97801,Variant 3,3,Fluxicon Disco
Radicar Solicitud Homologacion,complete,1113,2016-03-08 14:13:38+00:00,Radicar Solicitud Homologacion,1113,97801,Variant 3,3,Fluxicon Disco
Validar solicitud,start,1707,2016-03-08 14:26:28+00:00,Validar solicitud,1707,97801,Variant 3,3,Fluxicon Disco
Validar solicitud,complete,1707,2016-03-08 17:16:16+00:00,Validar solicitud,1707,97801,Variant 3,3,Fluxicon Disco
Homologacion por grupo de cursos,start,15930,2016-04-13 17:48:29+00:00,Homologacion por grupo de cursos,15930,97801,Variant 3,3,Fluxicon Disco
Revisar curso,start,1707,2016-04-13 17:48:29+00:00,Revisar curso,1707,97801,Variant 3,3,Fluxicon Disco
Revisar curso,complete,1707,2016-04-13 19:31:30+00:00,Revisar curso,1707,97801,Variant 3,3,Fluxicon Disco
Homologacion por grupo de cursos,complete,15930,2016-04-13 22:50:40+00:00,Homologacion por grupo de cursos,15930,97801,Variant 3,3,Fluxicon Disco
Evaluacion curso,start,7010,2016-05-02 16:50:18+00:00,Evaluacion curso,7010,97801,Variant 3,3,Fluxicon Disco
Evaluacion curso,complete,7010,2016-05-02 19:44:40+00:00,Evaluacion curso,7010,97801,Variant 3,3,Fluxicon Disco
Validacion final,start,1707,2016-06-03 01:13:11+00:00,Validacion final,1707,97801,Variant 3,3,Fluxicon Disco
Validacion final,complete,1707,2016-06-03 01:14:33+00:00,Validacion final,1707,97801,Variant 3,3,Fluxicon Disco
Visto Bueno Cierre Proceso,start,15930,2016-06-03 16:36:10+00:00,Visto Bueno Cierre Proceso,15930,97801,Variant 3,3,Fluxicon Disco
Visto Bueno Cierre Proceso,complete,15930,2016-06-03 16:59:33+00:00,Visto Bueno Cierre Proceso,15930,97801,Variant 3,3,Fluxicon Disco
Traer informacion estudiante - banner,start,1113,2016-03-08 14:28:16+00:00,Traer informacion estudiante - banner,1113,97803,Variant 11,11,Fluxicon Disco
Traer informacion estudiante - banner,complete,1113,2016-03-08 14:28:16+00:00,Traer informacion estudiante - banner,1113,97803,Variant 11,11,Fluxicon Disco
Radicar Solicitud Homologacion,start,1113,2016-03-08 14:28:17+00:00,Radicar Solicitud Homologacion,1113,97803,Variant 11,11,Fluxicon Disco
Radicar Solicitud Homologacion,complete,1113,2016-03-08 14:28:17+00:00,Radicar Solicitud Homologacion,1113,97803,Variant 11,11,Fluxicon Disco
Validar solicitud,start,1707,2016-03-08 14:43:42+00:00,Validar solicitud,1707,97803,Variant 11,11,Fluxicon Disco
Validar solicitud,complete,1707,2016-03-08 17:33:32+00:00,Validar solicitud,1707,97803,Variant 11,11,Fluxicon Disco
Homologacion por grupo de cursos,start,15930,2016-04-13 17:50:45+00:00,Homologacion por grupo de cursos,15930,97803,Variant 11,11,Fluxicon Disco
Revisar curso,start,1707,2016-04-13 17:50:45+00:00,Revisar curso,1707,97803,Variant 11,11,Fluxicon Disco
Revisar curso,complete,1707,2016-04-13 19:33:45+00:00,Revisar curso,1707,97803,Variant 11,11,Fluxicon Disco
Homologacion por grupo de cursos,complete,15930,2016-04-13 19:56:54+00:00,Homologacion por grupo de cursos,15930,97803,Variant 11,11,Fluxicon Disco
Evaluacion curso,start,15930,2016-05-02 16:51:34+00:00,Evaluacion curso,15930,97803,Variant 11,11,Fluxicon Disco
Evaluacion curso,complete,15930,2016-05-02 17:06:42+00:00,Evaluacion curso,15930,97803,Variant 11,11,Fluxicon Disco
Validacion final,start,1707,2016-05-04 14:52:00+00:00,Validacion final,1707,97803,Variant 11,11,Fluxicon Disco
Validacion final,complete,1707,2016-05-04 14:52:00+00:00,Validacion final,1707,97803,Variant 11,11,Fluxicon Disco
Visto Bueno Cierre Proceso,start,15930,2016-05-04 15:00:05+00:00,Visto Bueno Cierre Proceso,15930,97803,Variant 11,11,Fluxicon Disco
Visto Bueno Cierre Proceso,complete,15930,2016-05-04 15:08:05+00:00,Visto Bueno Cierre Proceso,15930,97803,Variant 11,11,Fluxicon Disco
Transferir Creditos,start,15930,2016-05-05 04:32:11+00:00,Transferir Creditos,15930,97803,Variant 11,11,Fluxicon Disco
Transferir Creditos,complete,15930,2016-05-05 04:32:11+00:00,Transferir Creditos,15930,97803,Variant 11,11,Fluxicon Disco
Transferir creditos homologables,start,15930,2016-05-05 04:32:12+00:00,Transferir creditos homologables,15930,97803,Variant 11,11,Fluxicon Disco
Transferir creditos homologables,complete,15930,2016-05-05 04:32:12+00:00,Transferir creditos homologables,15930,97803,Variant 11,11,Fluxicon Disco
Traer informacion estudiante - banner,start,12532,2016-03-08 17:48:27+00:00,Traer informacion estudiante - banner,12532,97851,Variant 4,4,Fluxicon Disco
Traer informacion estudiante - banner,complete,12532,2016-03-08 17:48:27+00:00,Traer informacion estudiante - banner,12532,97851,Variant 4,4,Fluxicon Disco
Radicar Solicitud Homologacion,start,12532,2016-03-08 17:48:30+00:00,Radicar Solicitud Homologacion,12532,97851,Variant 4,4,Fluxicon Disco
Radicar Solicitud Homologacion,complete,12532,2016-03-08 17:48:34+00:00,Radicar Solicitud Homologacion,12532,97851,Variant 4,4,Fluxicon Disco
Validar solicitud,start,19019,2016-03-08 17:53:09+00:00,Validar solicitud,19019,97851,Variant 4,4,Fluxicon Disco
Validar solicitud,complete,19019,2016-03-08 17:54:15+00:00,Validar solicitud,19019,97851,Variant 4,4,Fluxicon Disco
Homologacion por grupo de cursos,start,19019,2016-03-08 20:00:30+00:00,Homologacion por grupo de cursos,19019,97851,Variant 4,4,Fluxicon Disco
Revisar curso,start,19019,2016-03-08 20:00:31+00:00,Revisar curso,19019,97851,Variant 4,4,Fluxicon Disco
Revisar curso,complete,19019,2016-03-08 20:00:31+00:00,Revisar curso,19019,97851,Variant 4,4,Fluxicon Disco
Evaluacion curso,start,4067,2016-03-08 20:01:07+00:00,Evaluacion curso,4067,97851,Variant 4,4,Fluxicon Disco
Evaluacion curso,complete,4067,2016-03-09 00:29:07+00:00,Evaluacion curso,4067,97851,Variant 4,4,Fluxicon Disco
Homologacion por grupo de cursos,complete,19019,2016-03-09 00:39:58+00:00,Homologacion por grupo de cursos,19019,97851,Variant 4,4,Fluxicon Disco
Validar solicitud / pre-homologacion,start,19019,2016-04-30 04:43:52+00:00,Validar solicitud / pre-homologacion,19019,97851,Variant 4,4,Fluxicon Disco
Validar solicitud / pre-homologacion,complete,19019,2016-04-30 04:55:20+00:00,Validar solicitud / pre-homologacion,19019,97851,Variant 4,4,Fluxicon Disco
Revisar curso,start,22534,2016-03-08 15:05:47+00:00,Revisar curso,22534,97852,Variant 41,41,Fluxicon Disco
Traer informacion estudiante - banner,start,11759,2016-03-08 17:54:08+00:00,Traer informacion estudiante - banner,11759,97852,Variant 41,41,Fluxicon Disco
Traer informacion estudiante - banner,complete,11759,2016-03-08 17:54:08+00:00,Traer informacion estudiante - banner,11759,97852,Variant 41,41,Fluxicon Disco
Radicar Solicitud Homologacion,start,11759,2016-03-08 17:54:09+00:00,Radicar Solicitud Homologacion,11759,97852,Variant 41,41,Fluxicon Disco
Radicar Solicitud Homologacion,complete,11759,2016-03-08 17:54:14+00:00,Radicar Solicitud Homologacion,11759,97852,Variant 41,41,Fluxicon Disco
Cancelar Solicitud,start,22475,2016-03-08 17:59:27+00:00,Cancelar Solicitud,22475,97852,Variant 41,41,Fluxicon Disco
Validar solicitud,start,22475,2016-03-08 17:59:27+00:00,Validar solicitud,22475,97852,Variant 41,41,Fluxicon Disco
Validar solicitud,complete,22475,2016-03-08 17:59:27+00:00,Validar solicitud,22475,97852,Variant 41,41,Fluxicon Disco
Revisar curso,complete,22534,2016-03-08 19:47:58+00:00,Revisar curso,22534,97852,Variant 41,41,Fluxicon Disco
Cancelar Solicitud,complete,22475,2016-03-09 01:09:58+00:00,Cancelar Solicitud,22475,97852,Variant 41,41,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,22475,2016-06-01 17:31:12+00:00,Notificacion estudiante cancelacion soli,22475,97852,Variant 41,41,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,22475,2016-06-01 17:31:12+00:00,Notificacion estudiante cancelacion soli,22475,97852,Variant 41,41,Fluxicon Disco
Cancelar Solicitud,start,19019,2016-03-08 17:57:10+00:00,Cancelar Solicitud,19019,97853,Variant 40,40,Fluxicon Disco
Validar solicitud,start,387,2016-03-08 17:57:10+00:00,Validar solicitud,387,97853,Variant 40,40,Fluxicon Disco
Traer informacion estudiante - banner,start,11197,2016-03-08 17:59:47+00:00,Traer informacion estudiante - banner,11197,97853,Variant 40,40,Fluxicon Disco
Traer informacion estudiante - banner,complete,11197,2016-03-08 17:59:47+00:00,Traer informacion estudiante - banner,11197,97853,Variant 40,40,Fluxicon Disco
Radicar Solicitud Homologacion,start,11197,2016-03-08 17:59:48+00:00,Radicar Solicitud Homologacion,11197,97853,Variant 40,40,Fluxicon Disco
Radicar Solicitud Homologacion,complete,11197,2016-03-08 17:59:48+00:00,Radicar Solicitud Homologacion,11197,97853,Variant 40,40,Fluxicon Disco
Validar solicitud,complete,387,2016-03-08 18:18:12+00:00,Validar solicitud,387,97853,Variant 40,40,Fluxicon Disco
Cancelar Solicitud,complete,19019,2016-03-08 20:02:12+00:00,Cancelar Solicitud,19019,97853,Variant 40,40,Fluxicon Disco
Revisar curso,start,387,2016-03-11 12:51:54+00:00,Revisar curso,387,97853,Variant 40,40,Fluxicon Disco
Revisar curso,complete,387,2016-03-11 12:53:06+00:00,Revisar curso,387,97853,Variant 40,40,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,19019,2016-04-06 15:46:51+00:00,Notificacion estudiante cancelacion soli,19019,97853,Variant 40,40,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,19019,2016-04-06 15:46:51+00:00,Notificacion estudiante cancelacion soli,19019,97853,Variant 40,40,Fluxicon Disco
Traer informacion estudiante - banner,start,12532,2016-03-08 18:03:35+00:00,Traer informacion estudiante - banner,12532,97854,Variant 8,8,Fluxicon Disco
Traer informacion estudiante - banner,complete,12532,2016-03-08 18:03:35+00:00,Traer informacion estudiante - banner,12532,97854,Variant 8,8,Fluxicon Disco
Radicar Solicitud Homologacion,start,12532,2016-03-08 18:03:35+00:00,Radicar Solicitud Homologacion,12532,97854,Variant 8,8,Fluxicon Disco
Radicar Solicitud Homologacion,complete,12532,2016-03-08 18:03:40+00:00,Radicar Solicitud Homologacion,12532,97854,Variant 8,8,Fluxicon Disco
Cancelar Solicitud,start,19019,2016-03-08 18:09:13+00:00,Cancelar Solicitud,19019,97854,Variant 8,8,Fluxicon Disco
Validar solicitud,start,19019,2016-03-08 18:09:13+00:00,Validar solicitud,19019,97854,Variant 8,8,Fluxicon Disco
Validar solicitud,complete,19019,2016-03-08 18:10:03+00:00,Validar solicitud,19019,97854,Variant 8,8,Fluxicon Disco
Revisar curso,start,19019,2016-03-08 20:01:44+00:00,Revisar curso,19019,97854,Variant 8,8,Fluxicon Disco
Revisar curso,complete,19019,2016-03-08 20:54:59+00:00,Revisar curso,19019,97854,Variant 8,8,Fluxicon Disco
Cancelar Solicitud,complete,19019,2016-03-09 01:19:12+00:00,Cancelar Solicitud,19019,97854,Variant 8,8,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,19019,2016-06-01 17:08:13+00:00,Notificacion estudiante cancelacion soli,19019,97854,Variant 8,8,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,19019,2016-06-01 17:08:13+00:00,Notificacion estudiante cancelacion soli,19019,97854,Variant 8,8,Fluxicon Disco
Traer informacion estudiante - banner,start,12532,2016-03-08 18:09:27+00:00,Traer informacion estudiante - banner,12532,97855,Variant 8,8,Fluxicon Disco
Traer informacion estudiante - banner,complete,12532,2016-03-08 18:09:27+00:00,Traer informacion estudiante - banner,12532,97855,Variant 8,8,Fluxicon Disco
Radicar Solicitud Homologacion,start,12532,2016-03-08 18:09:28+00:00,Radicar Solicitud Homologacion,12532,97855,Variant 8,8,Fluxicon Disco
Radicar Solicitud Homologacion,complete,12532,2016-03-08 18:09:29+00:00,Radicar Solicitud Homologacion,12532,97855,Variant 8,8,Fluxicon Disco
Cancelar Solicitud,start,19019,2016-03-08 18:11:10+00:00,Cancelar Solicitud,19019,97855,Variant 8,8,Fluxicon Disco
Validar solicitud,start,19019,2016-03-08 18:11:10+00:00,Validar solicitud,19019,97855,Variant 8,8,Fluxicon Disco
Validar solicitud,complete,19019,2016-03-08 18:11:58+00:00,Validar solicitud,19019,97855,Variant 8,8,Fluxicon Disco
Revisar curso,start,19019,2016-03-08 20:08:36+00:00,Revisar curso,19019,97855,Variant 8,8,Fluxicon Disco
Revisar curso,complete,19019,2016-03-08 20:08:36+00:00,Revisar curso,19019,97855,Variant 8,8,Fluxicon Disco
Cancelar Solicitud,complete,19019,2016-03-09 01:21:09+00:00,Cancelar Solicitud,19019,97855,Variant 8,8,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,19019,2016-06-01 17:11:09+00:00,Notificacion estudiante cancelacion soli,19019,97855,Variant 8,8,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,19019,2016-06-01 17:11:09+00:00,Notificacion estudiante cancelacion soli,19019,97855,Variant 8,8,Fluxicon Disco
Traer informacion estudiante - banner,start,11197,2016-03-08 18:00:10+00:00,Traer informacion estudiante - banner,11197,97951,Variant 4,4,Fluxicon Disco
Traer informacion estudiante - banner,complete,11197,2016-03-08 18:00:10+00:00,Traer informacion estudiante - banner,11197,97951,Variant 4,4,Fluxicon Disco
Radicar Solicitud Homologacion,start,11197,2016-03-08 18:00:11+00:00,Radicar Solicitud Homologacion,11197,97951,Variant 4,4,Fluxicon Disco
Radicar Solicitud Homologacion,complete,11197,2016-03-08 18:00:14+00:00,Radicar Solicitud Homologacion,11197,97951,Variant 4,4,Fluxicon Disco
Validar solicitud,start,387,2016-03-08 18:03:42+00:00,Validar solicitud,387,97951,Variant 4,4,Fluxicon Disco
Validar solicitud,complete,387,2016-03-08 18:24:38+00:00,Validar solicitud,387,97951,Variant 4,4,Fluxicon Disco
Homologacion por grupo de cursos,start,387,2016-03-11 12:52:52+00:00,Homologacion por grupo de cursos,387,97951,Variant 4,4,Fluxicon Disco
Revisar curso,start,387,2016-03-11 12:52:52+00:00,Revisar curso,387,97951,Variant 4,4,Fluxicon Disco
Revisar curso,complete,387,2016-03-11 12:54:03+00:00,Revisar curso,387,97951,Variant 4,4,Fluxicon Disco
Homologacion por grupo de cursos,complete,387,2016-03-11 13:06:07+00:00,Homologacion por grupo de cursos,387,97951,Variant 4,4,Fluxicon Disco
Evaluacion curso,start,4067,2016-03-11 16:11:48+00:00,Evaluacion curso,4067,97951,Variant 4,4,Fluxicon Disco
Evaluacion curso,complete,4067,2016-03-11 16:14:36+00:00,Evaluacion curso,4067,97951,Variant 4,4,Fluxicon Disco
Validar solicitud / pre-homologacion,start,387,2016-03-11 19:11:47+00:00,Validar solicitud / pre-homologacion,387,97951,Variant 4,4,Fluxicon Disco
Validar solicitud / pre-homologacion,complete,387,2016-03-11 19:21:02+00:00,Validar solicitud / pre-homologacion,387,97951,Variant 4,4,Fluxicon Disco
Traer informacion estudiante - banner,start,5793,2016-03-08 19:23:12+00:00,Traer informacion estudiante - banner,5793,98051,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,complete,5793,2016-03-08 19:23:12+00:00,Traer informacion estudiante - banner,5793,98051,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,start,5793,2016-03-08 19:23:16+00:00,Radicar Solicitud Homologacion,5793,98051,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,complete,5793,2016-03-08 19:23:16+00:00,Radicar Solicitud Homologacion,5793,98051,Variant 6,6,Fluxicon Disco
Validar solicitud,start,22475,2016-03-08 19:33:00+00:00,Validar solicitud,22475,98051,Variant 6,6,Fluxicon Disco
Validar solicitud,complete,22475,2016-03-08 19:34:37+00:00,Validar solicitud,22475,98051,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,start,22478,2016-03-08 22:37:45+00:00,Homologacion por grupo de cursos,22478,98051,Variant 6,6,Fluxicon Disco
Revisar curso,start,22475,2016-03-08 22:37:46+00:00,Revisar curso,22475,98051,Variant 6,6,Fluxicon Disco
Revisar curso,complete,22475,2016-03-08 22:37:48+00:00,Revisar curso,22475,98051,Variant 6,6,Fluxicon Disco
Evaluacion curso,start,22478,2016-03-08 22:40:12+00:00,Evaluacion curso,22478,98051,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,complete,22478,2016-03-08 23:20:43+00:00,Homologacion por grupo de cursos,22478,98051,Variant 6,6,Fluxicon Disco
Evaluacion curso,complete,22478,2016-03-08 23:23:07+00:00,Evaluacion curso,22478,98051,Variant 6,6,Fluxicon Disco
Validar solicitud,start,294,2016-03-09 12:16:54+00:00,Validar solicitud,294,98201,Variant 66,66,Fluxicon Disco
Validar solicitud,complete,294,2016-03-09 13:28:54+00:00,Validar solicitud,294,98201,Variant 66,66,Fluxicon Disco
Traer informacion estudiante - banner,start,8443,2016-03-09 14:36:05+00:00,Traer informacion estudiante - banner,8443,98201,Variant 66,66,Fluxicon Disco
Traer informacion estudiante - banner,complete,8443,2016-03-09 14:36:05+00:00,Traer informacion estudiante - banner,8443,98201,Variant 66,66,Fluxicon Disco
Radicar Solicitud Homologacion,start,8443,2016-03-09 14:36:08+00:00,Radicar Solicitud Homologacion,8443,98201,Variant 66,66,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8443,2016-03-09 14:36:08+00:00,Radicar Solicitud Homologacion,8443,98201,Variant 66,66,Fluxicon Disco
Homologacion por grupo de cursos,start,294,2016-03-29 15:59:56+00:00,Homologacion por grupo de cursos,294,98201,Variant 66,66,Fluxicon Disco
Revisar curso,start,294,2016-03-29 15:59:57+00:00,Revisar curso,294,98201,Variant 66,66,Fluxicon Disco
Revisar curso,complete,294,2016-03-29 15:59:58+00:00,Revisar curso,294,98201,Variant 66,66,Fluxicon Disco
Homologacion por grupo de cursos,complete,294,2016-03-29 16:01:36+00:00,Homologacion por grupo de cursos,294,98201,Variant 66,66,Fluxicon Disco
Evaluacion curso,start,294,2016-03-29 16:01:38+00:00,Evaluacion curso,294,98201,Variant 66,66,Fluxicon Disco
Evaluacion curso,complete,294,2016-03-29 16:03:14+00:00,Evaluacion curso,294,98201,Variant 66,66,Fluxicon Disco
Validar solicitud / pre-homologacion,start,294,2016-03-29 17:38:33+00:00,Validar solicitud / pre-homologacion,294,98201,Variant 66,66,Fluxicon Disco
Validar solicitud / pre-homologacion,complete,294,2016-03-29 17:38:34+00:00,Validar solicitud / pre-homologacion,294,98201,Variant 66,66,Fluxicon Disco
Traer informacion estudiante - banner,start,26298,2016-03-09 12:48:09+00:00,Traer informacion estudiante - banner,26298,98251,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,complete,26298,2016-03-09 12:48:09+00:00,Traer informacion estudiante - banner,26298,98251,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,start,26298,2016-03-09 12:48:11+00:00,Radicar Solicitud Homologacion,26298,98251,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,complete,26298,2016-03-09 12:48:11+00:00,Radicar Solicitud Homologacion,26298,98251,Variant 6,6,Fluxicon Disco
Validar solicitud,start,7080,2016-03-09 12:59:45+00:00,Validar solicitud,7080,98251,Variant 6,6,Fluxicon Disco
Validar solicitud,complete,7080,2016-03-09 13:03:27+00:00,Validar solicitud,7080,98251,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,start,22534,2016-03-09 18:42:45+00:00,Homologacion por grupo de cursos,22534,98251,Variant 6,6,Fluxicon Disco
Revisar curso,start,22534,2016-03-09 18:42:46+00:00,Revisar curso,22534,98251,Variant 6,6,Fluxicon Disco
Revisar curso,complete,22534,2016-03-09 22:51:03+00:00,Revisar curso,22534,98251,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,complete,22534,2016-03-09 23:09:41+00:00,Homologacion por grupo de cursos,22534,98251,Variant 6,6,Fluxicon Disco
Evaluacion curso,start,22534,2016-04-28 21:30:40+00:00,Evaluacion curso,22534,98251,Variant 6,6,Fluxicon Disco
Evaluacion curso,complete,22534,2016-04-28 21:49:18+00:00,Evaluacion curso,22534,98251,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,start,22074,2016-03-09 15:11:18+00:00,Traer informacion estudiante - banner,22074,98301,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,complete,22074,2016-03-09 15:11:18+00:00,Traer informacion estudiante - banner,22074,98301,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,start,22074,2016-03-09 15:11:25+00:00,Radicar Solicitud Homologacion,22074,98301,Variant 6,6,Fluxicon Disco
Radicar Solicitud Homologacion,complete,22074,2016-03-09 15:11:29+00:00,Radicar Solicitud Homologacion,22074,98301,Variant 6,6,Fluxicon Disco
Validar solicitud,start,22404,2016-03-09 15:16:23+00:00,Validar solicitud,22404,98301,Variant 6,6,Fluxicon Disco
Validar solicitud,complete,22404,2016-03-09 15:32:32+00:00,Validar solicitud,22404,98301,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,start,49,2016-03-11 15:26:14+00:00,Homologacion por grupo de cursos,49,98301,Variant 6,6,Fluxicon Disco
Revisar curso,start,49,2016-03-11 15:26:15+00:00,Revisar curso,49,98301,Variant 6,6,Fluxicon Disco
Revisar curso,complete,49,2016-03-11 16:05:24+00:00,Revisar curso,49,98301,Variant 6,6,Fluxicon Disco
Homologacion por grupo de cursos,complete,49,2016-03-11 16:22:08+00:00,Homologacion por grupo de cursos,49,98301,Variant 6,6,Fluxicon Disco
Evaluacion curso,start,49,2016-03-18 00:36:09+00:00,Evaluacion curso,49,98301,Variant 6,6,Fluxicon Disco
Evaluacion curso,complete,49,2016-03-18 00:52:53+00:00,Evaluacion curso,49,98301,Variant 6,6,Fluxicon Disco
Traer informacion estudiante - banner,start,7592,2016-03-09 17:49:15+00:00,Traer informacion estudiante - banner,7592,98451,Variant 19,19,Fluxicon Disco
Traer informacion estudiante - banner,complete,7592,2016-03-09 17:49:15+00:00,Traer informacion estudiante - banner,7592,98451,Variant 19,19,Fluxicon Disco
Radicar Solicitud Homologacion,start,7592,2016-03-09 17:49:19+00:00,Radicar Solicitud Homologacion,7592,98451,Variant 19,19,Fluxicon Disco
Radicar Solicitud Homologacion,complete,7592,2016-03-09 18:10:29+00:00,Radicar Solicitud Homologacion,7592,98451,Variant 19,19,Fluxicon Disco
Validar solicitud,start,387,2016-03-14 12:06:01+00:00,Validar solicitud,387,98451,Variant 19,19,Fluxicon Disco
Cancelar Solicitud,start,19019,2016-03-14 12:06:02+00:00,Cancelar Solicitud,19019,98451,Variant 19,19,Fluxicon Disco
Validar solicitud,complete,387,2016-03-14 12:11:23+00:00,Validar solicitud,387,98451,Variant 19,19,Fluxicon Disco
Cancelar Solicitud,complete,19019,2016-03-14 18:46:38+00:00,Cancelar Solicitud,19019,98451,Variant 19,19,Fluxicon Disco
Revisar curso,start,387,2016-03-14 22:22:28+00:00,Revisar curso,387,98451,Variant 19,19,Fluxicon Disco
Revisar curso,complete,387,2016-03-14 22:22:28+00:00,Revisar curso,387,98451,Variant 19,19,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,19019,2016-06-01 16:36:45+00:00,Notificacion estudiante cancelacion soli,19019,98451,Variant 19,19,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,19019,2016-06-01 16:36:45+00:00,Notificacion estudiante cancelacion soli,19019,98451,Variant 19,19,Fluxicon Disco
Traer informacion estudiante - banner,start,17642,2016-03-09 19:26:38+00:00,Traer informacion estudiante - banner,17642,98551,Variant 12,12,Fluxicon Disco
Traer informacion estudiante - banner,complete,17642,2016-03-09 19:26:38+00:00,Traer informacion estudiante - banner,17642,98551,Variant 12,12,Fluxicon Disco
Radicar Solicitud Homologacion,start,17642,2016-03-09 19:26:44+00:00,Radicar Solicitud Homologacion,17642,98551,Variant 12,12,Fluxicon Disco
Radicar Solicitud Homologacion,complete,17642,2016-03-09 19:34:06+00:00,Radicar Solicitud Homologacion,17642,98551,Variant 12,12,Fluxicon Disco
Validar solicitud,start,677,2016-03-10 18:22:32+00:00,Validar solicitud,677,98551,Variant 12,12,Fluxicon Disco
