Activity,lifecycle:transition_start,org:resource_start,Start Timestamp,Complete Timestamp,Resource,Case ID,case:variant_start,case:variant-index_start,case:creator_start,event_index_start,EventID,lifecycle:transition_complete,org:resource_complete,Unnamed: 14,Activity_complete,Resource_complete,case:variant_complete,case:variant-index_complete,case:creator_complete,event_index_complete,duration,duration_seconds,duration_ms,duration_hours,Activity_start
Traer informacion estudiante - banner,start,7490,2016-02-12 15:18:57,2016-02-12 15:18:57,7490,85601,Variant 1,1,Fluxicon Disco,0,85601_Traer informacion estudiante - banner_0,complete,7490,,Traer informacion estudiante - banner,7490,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,7490,2016-02-12 15:19:04,2016-02-12 15:26:50,7490,85601,Variant 1,1,Fluxicon Disco,0,85601_Radicar Solicitud Homologacion_0,complete,7490,,Radicar Solicitud Homologacion,7490,Variant 1,1,Fluxicon Disco,0,0 days 00:07:46,466,466000,0.129444444444444,Radicar Solicitud Homologacion
Cancelar Solicitud,start,22404,2016-02-15 15:05:55,2016-02-15 15:41:49,22404,85601,Variant 1,1,Fluxicon Disco,0,85601_Cancelar Solicitud_0,complete,22404,,Cancelar Solicitud,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:35:54,2154,2154000,0.598333333333333,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,22404,2016-02-19 19:56:32,2016-02-19 19:56:32,22404,85601,Variant 1,1,Fluxicon Disco,0,85601_Notificacion estudiante cancelacion soli_0,complete,22404,,Notificacion estudiante cancelacion soli,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,20194,2016-02-12 22:14:06,2016-02-12 22:14:06,20194,85607,Variant 5,5,Fluxicon Disco,0,85607_Traer informacion estudiante - banner_0,complete,20194,,Traer informacion estudiante - banner,20194,Variant 5,5,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,20194,2016-02-12 22:14:07,2016-02-12 22:14:27,20194,85607,Variant 5,5,Fluxicon Disco,0,85607_Radicar Solicitud Homologacion_0,complete,20194,,Radicar Solicitud Homologacion,20194,Variant 5,5,Fluxicon Disco,0,0 days 00:00:20,20,20000,0.0055555555555555,Radicar Solicitud Homologacion
Notificacion estudiante cancelacion soli,start,1,2016-02-23 18:59:14,2016-02-23 18:59:14,1,85607,Variant 5,5,Fluxicon Disco,0,85607_Notificacion estudiante cancelacion soli_0,complete,1,,Notificacion estudiante cancelacion soli,1,Variant 5,5,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,11583,2016-02-12 22:41:04,2016-02-12 22:41:04,11583,85608,Variant 5,5,Fluxicon Disco,0,85608_Traer informacion estudiante - banner_0,complete,11583,,Traer informacion estudiante - banner,11583,Variant 5,5,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11583,2016-02-12 22:41:08,2016-02-12 22:41:10,11583,85608,Variant 5,5,Fluxicon Disco,0,85608_Radicar Solicitud Homologacion_0,complete,11583,,Radicar Solicitud Homologacion,11583,Variant 5,5,Fluxicon Disco,0,0 days 00:00:02,2,2000,0.0005555555555555,Radicar Solicitud Homologacion
Notificacion estudiante cancelacion soli,start,1,2016-02-23 21:08:18,2016-02-23 21:08:18,1,85608,Variant 5,5,Fluxicon Disco,0,85608_Notificacion estudiante cancelacion soli_0,complete,1,,Notificacion estudiante cancelacion soli,1,Variant 5,5,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,9336,2016-02-12 23:25:29,2016-02-12 23:25:29,9336,85610,Variant 1,1,Fluxicon Disco,0,85610_Traer informacion estudiante - banner_0,complete,9336,,Traer informacion estudiante - banner,9336,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,9336,2016-02-12 23:25:33,2016-02-12 23:25:39,9336,85610,Variant 1,1,Fluxicon Disco,0,85610_Radicar Solicitud Homologacion_0,complete,9336,,Radicar Solicitud Homologacion,9336,Variant 1,1,Fluxicon Disco,0,0 days 00:00:06,6,6000,0.0016666666666666,Radicar Solicitud Homologacion
Cancelar Solicitud,start,677,2016-02-12 23:31:37,2016-02-13 00:25:05,677,85610,Variant 1,1,Fluxicon Disco,0,85610_Cancelar Solicitud_0,complete,677,,Cancelar Solicitud,677,Variant 1,1,Fluxicon Disco,0,0 days 00:53:28,3208,3208000,0.891111111111111,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,677,2016-02-23 20:06:14,2016-02-23 20:06:14,677,85610,Variant 1,1,Fluxicon Disco,0,85610_Notificacion estudiante cancelacion soli_0,complete,677,,Notificacion estudiante cancelacion soli,677,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,9336,2016-02-13 00:00:21,2016-02-13 00:00:21,9336,85613,Variant 2,2,Fluxicon Disco,0,85613_Traer informacion estudiante - banner_0,complete,9336,,Traer informacion estudiante - banner,9336,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,9336,2016-02-13 00:00:23,2016-02-13 00:00:48,9336,85613,Variant 2,2,Fluxicon Disco,0,85613_Radicar Solicitud Homologacion_0,complete,9336,,Radicar Solicitud Homologacion,9336,Variant 2,2,Fluxicon Disco,0,0 days 00:00:25,25,25000,0.0069444444444444,Radicar Solicitud Homologacion
Validar solicitud,start,677,2016-02-13 00:25:52,2016-02-13 00:59:24,677,85613,Variant 2,2,Fluxicon Disco,0,85613_Validar solicitud_0,complete,677,,Validar solicitud,677,Variant 2,2,Fluxicon Disco,0,0 days 00:33:32,2012,2012000,0.558888888888889,Validar solicitud
Homologacion por grupo de cursos,start,3445,2016-02-19 15:58:24,2016-02-19 16:24:13,3445,85613,Variant 2,2,Fluxicon Disco,0,85613_Homologacion por grupo de cursos_0,complete,3445,,Homologacion por grupo de cursos,3445,Variant 2,2,Fluxicon Disco,0,0 days 00:25:49,1549,1549000,0.430277777777778,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,9336,2016-02-12 16:08:02,2016-02-12 16:08:02,9336,85654,Variant 1,1,Fluxicon Disco,0,85654_Traer informacion estudiante - banner_0,complete,9336,,Traer informacion estudiante - banner,9336,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,9336,2016-02-12 16:08:08,2016-02-12 16:08:28,9336,85654,Variant 1,1,Fluxicon Disco,0,85654_Radicar Solicitud Homologacion_0,complete,9336,,Radicar Solicitud Homologacion,9336,Variant 1,1,Fluxicon Disco,0,0 days 00:00:20,20,20000,0.0055555555555555,Radicar Solicitud Homologacion
Cancelar Solicitud,start,677,2016-02-12 16:29:04,2016-02-12 17:27:34,677,85654,Variant 1,1,Fluxicon Disco,0,85654_Cancelar Solicitud_0,complete,677,,Cancelar Solicitud,677,Variant 1,1,Fluxicon Disco,0,0 days 00:58:30,3510,3510000,0.975,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,677,2016-02-23 20:16:38,2016-02-23 20:16:38,677,85654,Variant 1,1,Fluxicon Disco,0,85654_Notificacion estudiante cancelacion soli_0,complete,677,,Notificacion estudiante cancelacion soli,677,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,9336,2016-02-12 16:36:21,2016-02-12 16:36:21,9336,85657,Variant 1,1,Fluxicon Disco,0,85657_Traer informacion estudiante - banner_0,complete,9336,,Traer informacion estudiante - banner,9336,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,9336,2016-02-12 16:36:22,2016-02-12 16:36:27,9336,85657,Variant 1,1,Fluxicon Disco,0,85657_Radicar Solicitud Homologacion_0,complete,9336,,Radicar Solicitud Homologacion,9336,Variant 1,1,Fluxicon Disco,0,0 days 00:00:05,5,5000,0.0013888888888888,Radicar Solicitud Homologacion
Cancelar Solicitud,start,677,2016-02-12 16:41:30,2016-02-12 16:45:55,677,85657,Variant 1,1,Fluxicon Disco,0,85657_Cancelar Solicitud_0,complete,677,,Cancelar Solicitud,677,Variant 1,1,Fluxicon Disco,0,0 days 00:04:25,265,265000,0.0736111111111111,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,677,2016-02-12 23:07:11,2016-02-12 23:07:11,677,85657,Variant 1,1,Fluxicon Disco,0,85657_Notificacion estudiante cancelacion soli_0,complete,677,,Notificacion estudiante cancelacion soli,677,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,13733,2016-02-13 02:07:58,2016-02-13 02:07:58,13733,85701,Variant 1,1,Fluxicon Disco,0,85701_Traer informacion estudiante - banner_0,complete,13733,,Traer informacion estudiante - banner,13733,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,13733,2016-02-13 02:08:03,2016-02-13 02:44:03,13733,85701,Variant 1,1,Fluxicon Disco,0,85701_Radicar Solicitud Homologacion_0,complete,13733,,Radicar Solicitud Homologacion,13733,Variant 1,1,Fluxicon Disco,0,0 days 00:36:00,2160,2160000,0.6,Radicar Solicitud Homologacion
Cancelar Solicitud,start,7297,2016-02-19 19:09:36,2016-02-19 19:09:36,7297,85701,Variant 1,1,Fluxicon Disco,0,85701_Cancelar Solicitud_0,complete,7297,,Cancelar Solicitud,7297,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,7297,2016-02-19 19:16:51,2016-02-19 19:16:51,7297,85701,Variant 1,1,Fluxicon Disco,0,85701_Notificacion estudiante cancelacion soli_0,complete,7297,,Notificacion estudiante cancelacion soli,7297,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Validar solicitud,start,18929,2016-02-13 23:33:10,2016-02-14 00:21:10,18929,85901,Variant 16,16,Fluxicon Disco,0,85901_Validar solicitud_0,complete,18929,,Validar solicitud,18929,Variant 16,16,Fluxicon Disco,0,0 days 00:48:00,2880,2880000,0.8,Validar solicitud
Traer informacion estudiante - banner,start,11353,2016-02-14 02:15:37,2016-02-14 02:15:37,11353,85901,Variant 16,16,Fluxicon Disco,0,85901_Traer informacion estudiante - banner_0,complete,11353,,Traer informacion estudiante - banner,11353,Variant 16,16,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11353,2016-02-14 02:15:44,2016-02-14 02:15:44,11353,85901,Variant 16,16,Fluxicon Disco,0,85901_Radicar Solicitud Homologacion_0,complete,11353,,Radicar Solicitud Homologacion,11353,Variant 16,16,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Homologacion por grupo de cursos,start,18929,2016-02-23 13:09:55,2016-02-24 00:10:53,18929,85901,Variant 16,16,Fluxicon Disco,0,85901_Homologacion por grupo de cursos_0,complete,18929,,Homologacion por grupo de cursos,18929,Variant 16,16,Fluxicon Disco,0,0 days 11:00:58,39658,39658000,11.0161111111111,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,11353,2016-02-14 02:40:10,2016-02-14 02:40:10,11353,85902,Variant 9,9,Fluxicon Disco,0,85902_Traer informacion estudiante - banner_0,complete,11353,,Traer informacion estudiante - banner,11353,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11353,2016-02-14 02:40:13,2016-02-14 02:40:13,11353,85902,Variant 9,9,Fluxicon Disco,0,85902_Radicar Solicitud Homologacion_0,complete,11353,,Radicar Solicitud Homologacion,11353,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,18929,2016-02-14 02:55:44,2016-02-14 03:43:44,18929,85902,Variant 9,9,Fluxicon Disco,0,85902_Validar solicitud_0,complete,18929,,Validar solicitud,18929,Variant 9,9,Fluxicon Disco,0,0 days 00:48:00,2880,2880000,0.8,Validar solicitud
Cancelar Solicitud,start,18929,2016-02-14 02:55:44,2016-02-14 14:44:39,18929,85902,Variant 9,9,Fluxicon Disco,0,85902_Cancelar Solicitud_0,complete,18929,,Cancelar Solicitud,18929,Variant 9,9,Fluxicon Disco,0,0 days 11:48:55,42535,42535000,11.8152777777778,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,18929,2016-06-28 22:55:25,2016-06-28 22:55:25,18929,85902,Variant 9,9,Fluxicon Disco,0,85902_Notificacion estudiante cancelacion soli_0,complete,18929,,Notificacion estudiante cancelacion soli,18929,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,6107,2016-02-14 14:27:28,2016-02-14 14:27:28,6107,86001,Variant 2,2,Fluxicon Disco,0,86001_Traer informacion estudiante - banner_0,complete,6107,,Traer informacion estudiante - banner,6107,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,6107,2016-02-14 14:27:35,2016-02-14 14:27:35,6107,86001,Variant 2,2,Fluxicon Disco,0,86001_Radicar Solicitud Homologacion_0,complete,6107,,Radicar Solicitud Homologacion,6107,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,19019,2016-02-14 14:38:01,2016-02-14 14:38:01,19019,86001,Variant 2,2,Fluxicon Disco,0,86001_Validar solicitud_0,complete,19019,,Validar solicitud,19019,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-15 12:30:04,2016-02-15 13:14:04,1007,86001,Variant 2,2,Fluxicon Disco,0,86001_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:44:00,2640,2640000,0.733333333333333,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,8528,2016-02-14 15:49:24,2016-02-14 15:49:24,8528,86051,Variant 2,2,Fluxicon Disco,0,86051_Traer informacion estudiante - banner_0,complete,8528,,Traer informacion estudiante - banner,8528,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8528,2016-02-14 15:49:31,2016-02-14 15:49:31,8528,86051,Variant 2,2,Fluxicon Disco,0,86051_Radicar Solicitud Homologacion_0,complete,8528,,Radicar Solicitud Homologacion,8528,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,1707,2016-02-14 15:57:51,2016-02-14 15:59:44,1707,86051,Variant 2,2,Fluxicon Disco,0,86051_Validar solicitud_0,complete,1707,,Validar solicitud,1707,Variant 2,2,Fluxicon Disco,0,0 days 00:01:53,113,113000,0.0313888888888889,Validar solicitud
Homologacion por grupo de cursos,start,15930,2016-02-15 16:53:48,2016-02-15 20:03:46,15930,86051,Variant 2,2,Fluxicon Disco,0,86051_Homologacion por grupo de cursos_0,complete,15930,,Homologacion por grupo de cursos,15930,Variant 2,2,Fluxicon Disco,0,0 days 03:09:58,11398,11398000,3.16611111111111,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,6186,2016-02-14 13:54:06,2016-02-14 13:54:06,6186,86102,Variant 1,1,Fluxicon Disco,0,86102_Traer informacion estudiante - banner_0,complete,6186,,Traer informacion estudiante - banner,6186,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,6186,2016-02-14 13:54:07,2016-02-14 13:54:07,6186,86102,Variant 1,1,Fluxicon Disco,0,86102_Radicar Solicitud Homologacion_0,complete,6186,,Radicar Solicitud Homologacion,6186,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Cancelar Solicitud,start,22404,2016-02-14 14:48:54,2016-02-14 15:24:54,22404,86102,Variant 1,1,Fluxicon Disco,0,86102_Cancelar Solicitud_0,complete,22404,,Cancelar Solicitud,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:36:00,2160,2160000,0.6,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,22404,2016-02-19 20:22:18,2016-02-19 20:22:18,22404,86102,Variant 1,1,Fluxicon Disco,0,86102_Notificacion estudiante cancelacion soli_0,complete,22404,,Notificacion estudiante cancelacion soli,22404,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,4924,2016-02-14 17:17:31,2016-02-14 17:17:31,4924,86151,Variant 2,2,Fluxicon Disco,0,86151_Traer informacion estudiante - banner_0,complete,4924,,Traer informacion estudiante - banner,4924,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,4924,2016-02-14 17:17:36,2016-02-14 17:26:09,4924,86151,Variant 2,2,Fluxicon Disco,0,86151_Radicar Solicitud Homologacion_0,complete,4924,,Radicar Solicitud Homologacion,4924,Variant 2,2,Fluxicon Disco,0,0 days 00:08:33,513,513000,0.1425,Radicar Solicitud Homologacion
Validar solicitud,start,294,2016-02-16 15:33:45,2016-02-16 15:45:11,294,86151,Variant 2,2,Fluxicon Disco,0,86151_Validar solicitud_0,complete,294,,Validar solicitud,294,Variant 2,2,Fluxicon Disco,0,0 days 00:11:26,686,686000,0.190555555555556,Validar solicitud
Homologacion por grupo de cursos,start,7311,2016-02-17 19:16:55,2016-02-17 21:56:55,7311,86151,Variant 2,2,Fluxicon Disco,0,86151_Homologacion por grupo de cursos_0,complete,7311,,Homologacion por grupo de cursos,7311,Variant 2,2,Fluxicon Disco,0,0 days 02:40:00,9600,9600000,2.66666666666667,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,11959,2016-02-14 22:42:23,2016-02-14 22:42:23,11959,86401,Variant 1,1,Fluxicon Disco,0,86401_Traer informacion estudiante - banner_0,complete,11959,,Traer informacion estudiante - banner,11959,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11959,2016-02-14 22:42:29,2016-02-14 22:42:29,11959,86401,Variant 1,1,Fluxicon Disco,0,86401_Radicar Solicitud Homologacion_0,complete,11959,,Radicar Solicitud Homologacion,11959,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Cancelar Solicitud,start,19019,2016-02-14 22:52:02,2016-02-14 23:00:40,19019,86401,Variant 1,1,Fluxicon Disco,0,86401_Cancelar Solicitud_0,complete,19019,,Cancelar Solicitud,19019,Variant 1,1,Fluxicon Disco,0,0 days 00:08:38,518,518000,0.143888888888889,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,19019,2016-02-16 15:38:07,2016-02-16 15:38:07,19019,86401,Variant 1,1,Fluxicon Disco,0,86401_Notificacion estudiante cancelacion soli_0,complete,19019,,Notificacion estudiante cancelacion soli,19019,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,11204,2016-02-15 02:33:58,2016-02-15 02:33:58,11204,86451,Variant 2,2,Fluxicon Disco,0,86451_Traer informacion estudiante - banner_0,complete,11204,,Traer informacion estudiante - banner,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11204,2016-02-15 02:34:06,2016-02-15 02:34:06,11204,86451,Variant 2,2,Fluxicon Disco,0,86451_Radicar Solicitud Homologacion_0,complete,11204,,Radicar Solicitud Homologacion,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,19019,2016-02-15 02:37:59,2016-02-15 02:46:40,19019,86451,Variant 2,2,Fluxicon Disco,0,86451_Validar solicitud_0,complete,19019,,Validar solicitud,19019,Variant 2,2,Fluxicon Disco,0,0 days 00:08:41,521,521000,0.144722222222222,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-16 15:41:12,2016-02-16 16:16:30,1007,86451,Variant 2,2,Fluxicon Disco,0,86451_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:35:18,2118,2118000,0.588333333333333,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,11204,2016-02-15 02:38:25,2016-02-15 02:38:25,11204,86452,Variant 2,2,Fluxicon Disco,0,86452_Traer informacion estudiante - banner_0,complete,11204,,Traer informacion estudiante - banner,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11204,2016-02-15 02:38:28,2016-02-15 02:38:28,11204,86452,Variant 2,2,Fluxicon Disco,0,86452_Radicar Solicitud Homologacion_0,complete,11204,,Radicar Solicitud Homologacion,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,19019,2016-02-15 02:40:50,2016-02-15 02:49:32,19019,86452,Variant 2,2,Fluxicon Disco,0,86452_Validar solicitud_0,complete,19019,,Validar solicitud,19019,Variant 2,2,Fluxicon Disco,0,0 days 00:08:42,522,522000,0.145,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-16 15:42:48,2016-02-16 16:18:05,1007,86452,Variant 2,2,Fluxicon Disco,0,86452_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:35:17,2117,2117000,0.588055555555556,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,11204,2016-02-15 02:40:55,2016-02-15 02:40:55,11204,86453,Variant 2,2,Fluxicon Disco,0,86453_Traer informacion estudiante - banner_0,complete,11204,,Traer informacion estudiante - banner,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11204,2016-02-15 02:40:57,2016-02-15 02:40:57,11204,86453,Variant 2,2,Fluxicon Disco,0,86453_Radicar Solicitud Homologacion_0,complete,11204,,Radicar Solicitud Homologacion,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,19019,2016-02-15 02:43:26,2016-02-15 02:52:10,19019,86453,Variant 2,2,Fluxicon Disco,0,86453_Validar solicitud_0,complete,19019,,Validar solicitud,19019,Variant 2,2,Fluxicon Disco,0,0 days 00:08:44,524,524000,0.145555555555556,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-16 15:44:26,2016-02-16 23:22:08,1007,86453,Variant 2,2,Fluxicon Disco,0,86453_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 07:37:42,27462,27462000,7.62833333333333,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,11204,2016-02-15 02:43:30,2016-02-15 02:43:30,11204,86454,Variant 2,2,Fluxicon Disco,0,86454_Traer informacion estudiante - banner_0,complete,11204,,Traer informacion estudiante - banner,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,11204,2016-02-15 02:43:31,2016-02-15 02:43:31,11204,86454,Variant 2,2,Fluxicon Disco,0,86454_Radicar Solicitud Homologacion_0,complete,11204,,Radicar Solicitud Homologacion,11204,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,19019,2016-02-15 02:46:03,2016-02-15 02:54:48,19019,86454,Variant 2,2,Fluxicon Disco,0,86454_Validar solicitud_0,complete,19019,,Validar solicitud,19019,Variant 2,2,Fluxicon Disco,0,0 days 00:08:45,525,525000,0.145833333333333,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-16 15:45:52,2016-02-16 15:57:29,1007,86454,Variant 2,2,Fluxicon Disco,0,86454_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:11:37,697,697000,0.193611111111111,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,9298,2016-02-15 00:27:32,2016-02-15 00:27:32,9298,86503,Variant 1,1,Fluxicon Disco,0,86503_Traer informacion estudiante - banner_0,complete,9298,,Traer informacion estudiante - banner,9298,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,9298,2016-02-15 00:27:33,2016-02-15 00:27:33,9298,86503,Variant 1,1,Fluxicon Disco,0,86503_Radicar Solicitud Homologacion_0,complete,9298,,Radicar Solicitud Homologacion,9298,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Cancelar Solicitud,start,7297,2016-02-15 00:35:56,2016-02-15 03:39:56,7297,86503,Variant 1,1,Fluxicon Disco,0,86503_Cancelar Solicitud_0,complete,7297,,Cancelar Solicitud,7297,Variant 1,1,Fluxicon Disco,0,0 days 03:04:00,11040,11040000,3.06666666666667,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,7297,2016-03-17 14:55:13,2016-03-17 14:55:13,7297,86503,Variant 1,1,Fluxicon Disco,0,86503_Notificacion estudiante cancelacion soli_0,complete,7297,,Notificacion estudiante cancelacion soli,7297,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
Traer informacion estudiante - banner,start,8995,2016-02-15 09:43:09,2016-02-15 09:43:09,8995,86601,Variant 1,1,Fluxicon Disco,0,86601_Traer informacion estudiante - banner_0,complete,8995,,Traer informacion estudiante - banner,8995,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8995,2016-02-15 09:43:17,2016-02-15 09:43:17,8995,86601,Variant 1,1,Fluxicon Disco,0,86601_Radicar Solicitud Homologacion_0,complete,8995,,Radicar Solicitud Homologacion,8995,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Cancelar Solicitud,start,19019,2016-02-15 09:49:01,2016-02-15 09:57:55,19019,86601,Variant 1,1,Fluxicon Disco,0,86601_Cancelar Solicitud_0,complete,19019,,Cancelar Solicitud,19019,Variant 1,1,Fluxicon Disco,0,0 days 00:08:54,534,534000,0.148333333333333,Cancelar Solicitud
Notificacion estudiante cancelacion soli,start,19019,2016-02-16 15:54:24,2016-02-16 15:54:24,19019,86601,Variant 1,1,Fluxicon Disco,0,86601_Notificacion estudiante cancelacion soli_0,complete,19019,,Notificacion estudiante cancelacion soli,19019,Variant 1,1,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Notificacion estudiante cancelacion soli
